Actor;Inner Positive;Inner Negative;Outer Positive;Outer Negative;Own
50+;0;0;0;0;0
CDA;0.5905398769783047557890432405;-10.42393308725991171750370626;7.131362064451101784806892883;-12.78305552816418819439159458;2.673723101580208434689760754
CU;2.094441828020555907129771783;-10.36806425746723601237759699;8.690038263019864278069347013;-19.68794079435541244797323696;-0.0378308077807990668693549745
D66;2.125649433488490042134405144;-13.62472084799368985739008003;8.322259522804895812994122212;-22.64054496378374099136968454;0.0960435356277702938128735915
GL;2.075575954381792835038449228;-24.22176432850973488720820440;3.958875056310452644893733927;-14.67294967283392048577558240;1.222832340189187560662278524
PVV;3.145064220547062176856721584;-9.393543805919970310772377828;7.776439695050697981894933592;-21.58654768577423589354501582;-1.410301147705646467791842068
PvdA;0.5192303287052657932125721900;-14.92403132847285358205209116;4.997514829735137768598831874;-27.76495002778503508883942041;-1.731092102381531959815141297
PvdD;1.553295528919657097533394464;-4.803306882338382899459833368;5.491370160881264853852072418;-17.49098019811570178648542961;2.272125858442894446136656760
SGP;2.217680343370382445990754129;-2.773366001199595686108415043;9.333260632665835244071830857;-11.95150638349159915779535635;2.978313811815582283520649930
SP;2.877405791849491627199928763;-14.37829055525633947753420450;5.695573682944901964956832854;-16.21771385368514185311519018;4.483103557122067585144976159
VVD;3.322417769016174508426196330;-17.87662293464009912777209110;4.710642514680593910910143812;-20.47459992564028904977295558;-2.218310968684606041502594026

Connections
first;second;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
belasting;ontwikkeling;0;-5.334689206324228879815420601;4.314967115933011730156258106;-4.990282195037696164087772681;0.6845896939092717941030050035
vreemd;belasting;0.9718921232778856318099650460;-0.8341367861465184202971355835;0;-7.098164056019098750433373983;0.6433825176516593699562467325
duur;bezuinig;0;-2.892438293239386993127135902;0;-0.2727978157838597909802561635;-0.129797031026689665003664926
AOW;Europa;0.0045704118391078290802222115;-0.3596377087123785096268582405;1.012090025995886327297673706;-3.784416069268125544039610590;0.0899574460145533360808519220
Europa;ontwikkeling;0.0033457377105981675864116195;-1.615336606031000378030229529;1.811534127823780979827400958;-2.655505292029656683179226658;-0.0033660573723118439690380130
zorg;ontwikkeling;0.3587492711899481071019449325;-1.557734093309658012726391994;1.296117698824312627256544362;-6.349991926706540531503420997;0.4011544387827320922102178170
AOW;zorg;0;-7.025234969635544868053909858;3.876618751589817683627047775;-2.787484759860891288883735028;-0.0884739934722809606492357915
zorg;belasting;0;-0.475659356838542040483997176;0.4929886550148205821599216900;-2.595809354405309828972969472;0.1075611610941426724712556400
vreemd;duur;0.0439446449383966051800194210;-1.944309906938002625079420524;0.8183329469053701221370987360;-1.250257724935502932375491512;-0.0339831161124537285764404930
AOW;duur;0.3113881198826988524176631735;-2.123315979832250410385467128;1.320982472243494433091292429;-5.047909474958173325344703341;0.735505476235297454435871961
hypotheek;duur;0.5265619380052196897971971180;-2.951294733174416809750419568;0.2760203707285425793291759120;-0.9044975225412241445709918920;0.2123233620988789071762891850
huur;ontslag;0.006208530279517568175548532;-2.668412135408875845033295347;3.349955227118005428828463568;-3.852127709374277201537280634;-0.1941390044390288402354547695
ontslag;belasting;0.089659523809652677832901344;-5.707337485054133662452997353;4.646235467808869086047575263;-4.299957695183044069013124165;-1.239499386938652274264411960
huur;Europa;1.302581870698640849564496594;-3.140963961174962136760952939;1.383246440645164246680863370;-5.508168911542410271654519290;-0.149303817939725746290996837
huur;AOW;1.991893462584718837166160341;-3.036375457735946993407099845;3.780263394468260202427761799;-4.805163203864593209776535426;0.0381768001890332656689107095
AOW;bezuinig;0.1296812454038251696675730510;-2.379328899142870655892517051;0;-2.916436095253081540837082642;0.2332277296934008199504634205
huur;vreemd;1.004144543796990203602575462;-2.963735956510761887263096053;0;-1.504081019304074979679359844;0.2033324741665515770153153125
zorg;bezuinig;0.002304082857540954764791615;-2.473265603450973682043594664;0;-3.013698031228952919110312922;0.0678514559945755070922749330
hypotheek;Europa;0;-3.085968753648203831691305957;0;-4.032930828313554970200606772;0.2209194633484172765416594815
duur;ontwikkeling;0.4679754715130315546406204075;-0.8487997492907917481268450475;0.9273198167077204712917582780;-2.531310253467626997966780386;0.2039158095688376328351326895
hypotheek;huur;0.6183588696074847702639021315;-7.679053267526762197376733245;1.980388000304029351173488025;-2.346265965099631714914682076;0.3253247370308949611086003315
vreemd;Europa;0.1811692892550974834104184775;-3.043863997269278333390303102;0.0369266250461980077871802500;-6.398487940711283195255297592;0.2826428889919027898247584380
hypotheek;ontslag;0.3871972286723504890516687375;-1.648162701327035504432750795;0.700300635234407096861581545;-2.771744545834180073696378798;0.2443463307368726212144604825
ontslag;ontwikkeling;0;-0.9173044749832619146145231100;1.119683399919617061244106142;-3.024685019429220941474746530;0.316767012943860229507173456
AOW;vreemd;1.338083374939408764694681094;-2.684045081401293829875472584;2.507921528454981530181152970;-1.060521725403620594750489916;0.2297491411051785922274446815
zorg;Europa;0;-3.594702786304304191433931560;0;-2.620410173884207568738051073;0.0036097116725432352533631570
Europa;belasting;1.225294813483902399951481174;-2.508435901227428160137056219;3.025602117300172499433099778;-7.957260274576189979083718328;1.148273533578250103013281784
vreemd;ontslag;1.218515565614755042220203406;-15.86959335263617444283510501;8.733458321410317340459820150;-16.37723979403638689025686942;0.7691522322822156085591616410
duur;Europa;0.0737821653291012259211224220;-0.6760146038006656825233726810;0;-1.034881784903990493417208842;0.0849846930492265429457954190
ontwikkeling;bezuinig;0.332942987269209716491418371;-2.004744258845081444219120828;0.799811445193005960933132538;-2.800839975378094109865952398;0.6109675436486528818089945210
