actor_name;supply;gain;highest;actor_name;supply;gain;highest;supply;move;y;demand;supply;move;y;demand;dp;dq;nbs_0;nbs_1;nbs_0;nbs_1
PVV;duur;3.011736494748391201881076995;True;PvdD;vreemd;1.915198111377400103094714723;True;0;43.08404540453779155894792412;43.08404540453779155894792412;100;30;70;100;100;4.410004759345813596382868126966059207916259765625;2.944420066575329286706619313918054103851318359375;66.61897959562282512767643465;69.56339966219815441438305397;45.20102140284642840033867341;46.47737664822048435896152354
PVV;belasting;1.535252878408548671274047592;True;SP;vreemd;1.210113420101277337259659817;True;60;-49.74401586086021957507384115;10.25598413913978042492615885;0;10;90;100;100;2.42618032389476301347031039767898619174957275390625;2.565394764304920638409157618298195302486419677734375;45.96638508484861009786494991;43.40099032054368945945579230;46.47737664822048435896152354;52.90179232239273028642601969
SP;ontwikkeling;1.046176533216699189310361362;True;PVV;belasting;1.395230915671400073740926473;True;80;-30.42409020053529909029470235;49.57590979946470090970529765;0;10.25598413913978042492615885;-10.25598413913978042492615885;0E-26;0;2.771817486584968293072961387224495410919189453125;2.619736660761047719603311634273268282413482666015625;57.43659631394382899320881274;54.81685965318278127360550110;43.40099032054368945945579230;42.87206945321891546575237851
SGP;duur;0.6406536852983941043859772435;False;PvdD;huur;1.548995975865109375746442310;True;25;44.15095393898310893974633813;69.15095393898310893974633813;100;25;25;50;50;0.8421636962459506658973396042711101472377777099609375;1.98511732038262067590039805509150028228759765625;69.56339966219815441438305397;71.54851698258077509028345203;41.61925375546712808571343878;42.57753899204255823273266699
PVV;duur;0.2439370959476264366649900239;False;GL;hypotheek;1.334942494757705933050573321;True;43.08404540453779155894792412;31.55812794752567107660638514;74.64217335206346263555430926;100;80;-80;0;0;0.9519267929223220736645316719659604132175445556640625;2.156723778367839461367339026764966547489166259765625;69.56339966219815441438305397;71.72012344056599387575039298;50.84091350762240100618851816;45.58641505157001681976231009
CDA;duur;0.3446501687832085547569249684;False;GL;vreemd;1.409579225608314789752739671;True;55;34.99360106490911332705862062;89.99360106490911332705862062;100;0;55;55;55;0.9456561195971111555280685934121720492839813232421875;2.2801096013536881201844153110869228839874267578125;71.72012344056599387575039298;74.00023304191968199593480827;45.20102140284642840033867341;49.79293893151782729824291059
PVV;duur;1.714140814968704584764225274;True;GL;vreemd;0.627698817008099829717338025;False;74.64217335206346263555430926;19.46802040936212209739241007;94.11019376142558473294671933;100;55;45;100;100;2.364556647926230770195843433612026274204254150390625;1.3304700014030366173045649702544324100017547607421875;74.00023304191968199593480827;75.33070304332271861323937325;57.49370985106412918433025687;61.25073328361345555534281456
PvdD;ontwikkeling;1.147603011691862695542454275;True;PVV;duur;1.096335340656860957153639902;True;100;-65.85232368410155671673730001;34.14767631589844328326269999;0;94.11019376142558473294671933;5.88980623857441526705328067;100.0000000000000000000000000;100;2.18377868139123965107728508883155882358551025390625;2.317466839074537432452416396699845790863037109375;54.81685965318278127360550110;52.49939281410824384115308470;75.03571076235165116895535602;75.43822783135633035840179902
VVD;duur;0.8617169099530624265526057570;False;PvdD;zorg;0.7301796887781900169400728372;True;30;11.36549900875631111167490529;41.36549900875631111167490529;100;90;-90;0;0;2.04347784995499726079515312449075281620025634765625;1.629021925010725180271720091695897281169891357421875;71.54851698258077509028345203;73.17753890759150027055517211;53.88523134505072180041496943;51.16881162364986848259505913
VVD;ontwikkeling;0.9022744770394897972920489341;False;GL;duur;1.317409768243922207897611542;True;25;6.926740154700235799916139528;31.92674015470023579991613953;80;100;-70;30;30;1.9485567433402295467459452993352897465229034423828125;0.6671489224116198268887956146500073373317718505859375;57.43659631394382899320881274;58.10374523635544882009760835;66.61897959562282512767643465;59.97458802393128868464193029
