actor_name;supply;gain;highest;actor_name;supply;gain;highest;supply;move;y;demand;supply;move;y;demand;dp;dq;nbs_0;nbs_1;nbs_0;nbs_1
D66;AOW;0.9657541374513769150134123715;True;PvdD;hypotheek;0.5082916512901983763228486168;False;66.20540321118261013369044785;-5.752455997412448274510827848;60.45294721377016185917962000;50.34580000000000031904479059;43.40008016131478291844887678;24.15520546723331773433936646;67.55528562854810065278824324;67.55528562854810065278824324;1.7402097623409258364546303710085339844226837158203125;0.723626459760529083808933137333951890468597412109375;51.56727349709388014186504607;50.84364703733335105805611294;43.55600128593397483164955524;44.47998195983449826298059048
PVV;duur;1.589117919533532030662570378;True;GL;vreemd;0.416335671673680762783220644;False;70.31417056212222715260556775;21.99953705563688864317006819;92.31370761775911579577563594;95.17356884430887254292233714;39.80880000000000150959245104;36.45999999999999756528090700;76.26879999999999907487335804;76.26879999999999907487335804;2.305798720836709225778804466244764626026153564453125;1.5034771631533543345682346625835634768009185791015625;80.38853786574939737165468700;81.89201502890275170622292167;52.45899184426381148736603872;55.50301571872488771713984246
PvdA;ontslag;0.941506363207064778109156577;True;PvdD;vreemd;0.0121039734594111436649654933;False;25.95217352984090934324416132;7.606007354316849629806635400;33.55818088415775897305079672;52.84108616310451882143223922;64.15689487847369569992576547;-28.15689487847369481174734577;36.00000000000000088817841970;36.00000000000000088817841970;2.62085261796640711651207311660982668399810791015625;1.28016637533467569909362282487563788890838623046875;47.89485888784625415558542515;49.17502526318092985467904796;52.45899184426381148736603872;51.94558898038401445489299146
VVD;bezuinig;1.545515756901581294613379214;True;PVV;belasting;1.038827272989607664044342528;False;92.05723848196002691165813537;-12.51562875105125954008999556;79.54160973090876737156813981;75.23528924358368465113424684;37.23887171508652128338190178;22.29276692312691163276816397;59.53163863821343291615006575;59.53163863821343291615006575;0.901037040221423612962325933040119707584381103515625;2.618276770112069495866080615087412297725677490234375;79.18291089267677738309033336;76.56463412256470788722425274;43.69248070647090456556726531;44.84216165917938812770826466
D66;belasting;0.8086741413149825863371233934;True;SGP;hypotheek;0.4216437499477726946750522074;False;52.14837860625673197877053520;-6.308925937207649389295710232;45.83945266904908258947482497;42.44925519457557939469499506;38.57405756236063321647455844;28.98122806618746743631368480;67.55528562854810065278824324;67.55528562854810065278824324;1.4473688130327027057120403696899302303791046142578125;0.7551016414214466454524199434672482311725616455078125;43.69248070647090456556726531;42.93737906504945792011484534;44.47998195983449826298059048;45.74899711090353219218509175
PvdA;vreemd;0.7937806933838562062355492802;True;CU;zorg;0.0804547568780749400296770091;False;36.00000000000000088817841970;5.290363566223824851417471916;41.29036356622382573959589162;59.35580230871039083148210234;51.69856000000000072517991611;30.83646622286047715068588174;82.53502622286047787586579785;82.53502622286047787586579785;1.6933518554192927840773563730181194841861724853515625;0.9736479686580097325787619411130435764789581298828125;52.45899184426381148736603872;53.43263981292182121994480067;58.45925911269650127700733713;59.88034013882149271916217069
D66;ontwikkeling;0.5133870462998606165605508521;True;CDA;Europa;0.1722322446988685640256733221;False;49.58116924332635632310910165;11.36285892953222961097062678;60.94402817285858593407972843;70;52.96025770737451866078002936;-28.49444895460475628139628013;24.46580875276976237938374923;24.46580875276976237938374923;1.3733593506621046831384092001826502382755279541015625;1.0899473362715472735118282798794098198413848876953125;56.24174118086415137755711732;57.33168851713569865106894560;49.46835152127351457475699510;46.22227943450951325932383608
VVD;ontwikkeling;0.9654414113549282472348522788;True;CDA;belasting;0.6182122886067979550261952677;True;50.79739405541238712152498320;19.09501138189518793236667206;69.89240543730757505389165526;70;32.50524551829892557424671799;27.02639311991450734190334776;59.53163863821343291615006575;59.53163863821343291615006575;1.890106398397182640991331936675123870372772216796875;1.83913586800634032414336616056971251964569091796875;57.33168851713569865106894560;59.17082438514203897521231177;44.84216165917938812770826466;47.05695899843522574965079955
PvdA;ontwikkeling;0.461012281600700379868840173;True;GL;zorg;0.4987254825489077170175278298;False;56.08326490676556007939592557;11.17364445270521866282337769;67.25690935947077874221930326;80;32.71002036782469367985653761;49.82500585503578419600926024;82.53502622286047787586579785;82.53502622286047787586579785;1.75438326313253245558598791831173002719879150390625;1.71989639264396743101315223611891269683837890625;56.24174118086415137755711732;57.96163757350811880857026954;59.88034013882149271916217069;62.03217831403006823433873485
CDA;duur;0.5960916348399701034247496006;True;PvdD;huur;0.596091634839970103424749600;False;73.86166643000057157901572301;26.13833356999942842098427699;100.0000000000000000000000000;100;29.89647556874885700704502023;66.64713014253338096243713930;96.54360571128223796948215953;37.73656537301272244323444779;2.554678435028443300391784002;1.703118956685628866927856001;80.38853786574939737165468700;82.09165682243502623858254300;32.35047952643575305419302069;34.90515796146419635458480469
PvdA;belasting;0.4834418089170998467096751478;True;VVD;zorg;0.2268758840547570931889254093;False;43.30145048202013342253226475;6.679277035625356365973911845;49.98072751764548978850617660;59.53163863821343291615006575;33.79040000000000159068314076;48.74462622286047628518265709;82.53502622286047787586579785;82.53502622286047787586579785;1.2783480150657677842929160760832019150257110595703125;1.026263699449371014082998954108916223049163818359375;47.05695899843522574965079955;48.08322269788459676373379850;62.03217831403006823433873485;71.09190500970363864320134421
SP;AOW;0.6408735295413906352113286861;False;CU;huur;0.6688874598886462408131592384;True;37.14149687486358974920507308;11.58134056343116176968386946;48.72283743829475151888894254;53.85639624396076974900986337;36.70718699859073772823609744;-19.50718699859073681785321725;17.20000000000000091038288019;17.20000000000000091038288019;0.92961965588368589141765596650657244026660919189453125;1.486764746060172281971745178452692925930023193359375;51.56727349709388014186504607;53.05403824315405242383679123;32.35047952643575305419302069;31.33564137444054180020498761
PVV;ontwikkeling;0.422038297909473336666508203;False;SGP;huur;0.8999670276760027842755107481;True;29.25253048694579995916078222;13.87445840687118435310943330;43.12698889381698431227021552;59.00127014736596764817252368;35.75953715181808295430554603;-4.93390793806608860013410096;30.82562921375199435417144507;30.82562921375199435417144507;1.7390561666221149295097347931005060672760009765625;2.030976968089481804469187409267760813236236572265625;56.24174118086415137755711732;58.27271814895363318202630471;32.35047952643575305419302069;32.18810983512621858303955577
PVV;ontwikkeling;1.065258276551498606288248538;True;SP;vreemd;0.2853233041637301070636567602;False;43.12698889381698431227021552;7.845819629011571970445432198;50.97280852282855628271564772;57.36323653488120551523018360;47.83656000000000116360698855;28.43223999999999791126636949;76.26879999999999907487335804;76.26879999999999907487335804;2.148920961011694164000118689727969467639923095703125;1.148490160481895117072781431488692760467529296875;58.27271814895363318202630471;59.42120830943552829909908616;55.50301571872488771713984246;57.53257714436741087413762102
SP;ontslag;0.705771906606497489988782946;True;SGP;huur;0.2343870107967578331198410523;False;20.00301770913041103274585909;8.700306348113322923572793712;28.70332405724373395631865280;70.29821322298189432254210085;30.82562921375199435417144507;-13.62562921375199344378856488;17.20000000000000091038288019;17.20000000000000091038288019;2.378681764183898206255207696813158690929412841796875;1.1980437961460290718918031416251324117183685302734375;47.89485888784625415558542515;49.09290268399228322747722831;31.17327168313100732905152269;30.72486663846731186363787359
VVD;duur;0.806884570805220846523297951;False;PvdD;zorg;0.9933930399212331008307330648;True;71.26838223000124376457318786;13.80410849329451651968909664;85.07249072329576028426228450;100;59.61623999999999973780528962;-25.82583999999999814712214886;33.79040000000000159068314076;33.79040000000000159068314076;2.215571001979999454789549417910166084766387939453125;1.9785488849612977713121608758228830993175506591796875;82.09165682243502623858254300;84.07020570739632400989470390;58.45925911269650127700733713;57.67977221161046784793742365
PvdD;ontwikkeling;0.4948365694105635981259183609;False;PVV;ontslag;0.7563388964516496004719670049;True;58.14542707111862505211873028;-20.76712224022909507722211841;37.37830483088952997489661187;29.25253048694579995916078222;44.67000709729761770756981653;8.17107906580690111386242269;52.84108616310451882143223922;52.84108616310451882143223922;1.967925423638653636970730076427571475505828857421875;0.730834000112244641655934174195863306522369384765625;56.24174118086415137755711732;55.51090718075190673590118315;49.17502526318092985467904796;50.05015631331561017814078379
PVV;AOW;0.6568704707353530736213542699;True;GL;huur;0.6096972754536974514749658733;False;26.15616000000000122238219547;10.86601909857889078119766500;37.02217909857889200357986047;54.07199999999999911937109687;41.72808339432773533043058855;-10.90245418057574097625914348;30.82562921375199435417144507;30.82562921375199435417144507;0.989252098622831699259450033423490822315216064453125;1.472431099686817734806254520663060247898101806640625;51.56727349709388014186504607;53.03970459678069787667130058;32.18810983512621858303955577;31.59012944377532411982003801
VVD;vreemd;0.9862969760783259709491233025;True;PVV;AOW;0.8481923880968703588489887576;True;48.64346573438270563535419460;7.268253501599346668950354464;55.91171923598205230430454906;76.26879999999999907487335804;37.02217909857889200357986047;25.04390090142110661620419799;62.06607999999999861978405846;62.06607999999999861978405846;1.79959976570517365956902722246013581752777099609375;0.90676567297162591341219695095787756145000457763671875;57.53257714436741087413762102;58.43934281733903678754981799;53.03970459678069787667130058;56.43335025580129605470163153
GL;ontwikkeling;1.040235405619348107997268471;True;PVV;duur;0.2851257352717024184940441953;False;80;-17.48996021024567929574475939;62.51003978975432070425524061;29.25253048694579995916078222;92.31370761775911579577563594;2.85986122654975674714670120;95.17356884430887254292233714;95.17356884430887254292233714;2.281642426653964772498284219182096421718597412109375;1.409156124627398032345126921427436172962188720703125;55.51090718075190673590118315;54.10175105612450870355605622;81.89201502890275170622292167;82.08746168912252163127036367
VVD;vreemd;1.054273027275355567589087968;True;PVV;zorg;0.289747745106380483193220243;False;55.91171923598205230430454906;10.26426743135483199889803990;66.17598666733688430320258896;76.26879999999999907487335804;59.50937045645675751886230931;-25.71897045645675592817916855;33.79040000000000159068314076;33.79040000000000159068314076;1.8828252821063682365121394468587823212146759033203125;1.28053945324075169054367506760172545909881591796875;58.43934281733903678754981799;59.71988227057978847809349306;57.67977221161046784793742365;54.64080831222643077269747411
PVV;ontslag;0.1261480440901529220809607068;True;SGP;vreemd;0.0338727633571898500974839408;False;52.84108616310451882143223922;9.615498726329802573094465917;62.45658488943432139452670514;70.29821322298189432254210085;51.15229707305040193732255769;25.11650292694959713755080035;76.26879999999999907487335804;76.26879999999999907487335804;0.89160944286760912547151747276075184345245361328125;1.029829895191536781595686989021487534046173095703125;49.96803373412696355093896414;50.99786362931850033253465108;58.43934281733903678754981799;59.74994406789797259496823453
