actor_name;supply;gain;highest;actor_name;supply;gain;highest;supply;move;y;demand;supply;move;y;demand;dp;dq;nbs_0;nbs_1;nbs_0;nbs_1
GL;zorg;0.6122044888026038078621127167;True;PvdD;hypotheek;0.3444194623504774455113874865;False;70.82007951042971770418398299;-22.13010114622639246257930362;48.68997836420332524160467937;47.38395102948278963397069198;32.56230515422370150770039506;9.96723727394261134145125143;42.52954242816631284915164649;42.52954242816631284915164649;1.45344128691605600778302687103860080242156982421875;0.9557529527688763959503148726071231067180633544921875;64.36121100511712865381866469;63.40545805234825225786834984;41.79564013524725880545232788;42.17690514356178957969598493
CDA;ontwikkeling;0.4076307405288987939506739618;True;PVV;belasting;0.7236508428987784458108478699;True;66.34631629156414360905458271;-10.09600323171828473465343491;56.25031305984585887440114780;51.05780569612428121596264392;49.72932242042572259290140385;-7.38329836279893378631342085;42.34602405762678880658798300;42.34602405762678880658798300;1.580100511849398259300869540311396121978759765625;1.4090364664159975571777749792090617120265960693359375;60.49370401392295237252364995;59.08466754750695481534587493;47.36283173730319808713767336;46.98206081168662020261327904
D66;zorg;0.5276137547585174947251118742;True;PvdD;hypotheek;0.2466329776186463096365741876;False;66.15724482064253033654033667;-10.24721408707402319841482294;55.91003073356850713812551373;47.38395102948278963397069198;42.52954242816631284915164649;8.33922198277029735482888305;50.86876441093661020398052954;50.86876441093661020398052954;1.28008058567848603814809393952600657939910888671875;0.98351828805149177359368195538991130888462066650390625;63.40545805234825225786834984;62.42193976429676048427466790;42.17690514356178957969598493;42.49589559710599219001707222
VVD;ontslag;0.6672462860956330676920345011;True;CU;hypotheek;0.3199754508845714440212759655;False;42.59574214985303160362048469;4.930147216771848889334213033;47.52588936662488049295469772;49.58602358303311244366813280;44.71813250979524310610031268;-10.70060085027245255706068094;34.01753165952279054903963174;34.01753165952279054903963174;1.5044739787002396891324451644322834908962249755859375;0.89647528667011133762798635871149599552154541015625;43.42570131875210915967726513;44.32217660542222049730525149;41.79564013524725880545232788;41.12900390655781956205036156
SP;vreemd;1.083655779184475509424601114;True;PVV;AOW;0.6211333614784316670132113818;False;52.41934883692771004781072974;104.8884647381835285805619650;157.3078135751112386283726947;69.09379549663365761297530470;41.16768044156902163044236687;40.31961482320069501928844922;81.48729526476971664973081609;54.12055875545044082622148900;5.463625110031209552897930670;7.487189965598324202119386472;61.42496774518371588841681325;68.91215771078204009053619970;54.00563919017708607025038737;55.76085613640096179932569103
SP;ontslag;0.9301182958167173886465661782;True;CU;zorg;0.2628504848989115960655738035;True;33.48704851894016696320407768;5.770212685199504008908989748;39.25726120413967097211306743;49.58602358303311244366813280;66.14698830633687411542631577;-3.88481920926545657528084087;62.26216909707141754014547490;62.26216909707141754014547490;1.731818615867509958405889847199432551860809326171875;0.7945659880637967464878101964131928980350494384765625;44.32217660542222049730525149;45.11674259348601724379306165;64.36121100511712865381866469;64.18218131902033690005002894
PvdA;duur;1.467135074536051519977775115;True;PvdD;vreemd;0.9462087344572672975573368606;False;88.50205785801328537679707206;10.12059334041296275102582271;98.62265119842624812782289477;100;65.26310315983117224732105444;-10.71737056234150730952312659;54.54573259748966493779792785;54.54573259748966493779792785;3.739439771826132297150024896836839616298675537109375;1.7832596724447302705129914102144539356231689453125;91.08509874131459819983231821;92.86835841375932847034530958;61.42496774518371588841681325;61.22955100041425762191211827
D66;duur;0.448478948923961867925781564;True;PvdD;hypotheek;0.4484789489239618679257815625;True;89.80084731335446586824888515;10.19915268664553413175111485;100.0000000000000000000000000;100;50.86876441093661020398052954;40.83117648701341832032482807;91.69994089795002852430535761;50.86876441093661020398052954;1.561866986302354763920632309;1.294118360079093947248523913;92.86835841375932847034530958;94.16247677383842241759383349;42.49589559710599219001707222;44.05776258340834695393770453
D66;zorg;0.0169308698353450627682745713;True;PvdD;AOW;0.0169308698353450627682745713;False;55.91003073356850713812551373;-8.52607970408571750415482175;47.38395102948278963397069198;47.38395102948278963397069198;42.50602128535009382697315745;17.03834410430008627478317025;59.54436538965018010175632770;62.51234763993982966418417942;0.6207985606293189681700676148;0.8183253753750113671332709468;62.42193976429676048427466790;61.60361438892174911714139695;54.00563919017708607025038737;54.62643775080640503842045498
PVV;Europa;0.6506878504380696259801197810;True;PvdD;huur;0.2113642344950337204068091523;False;56.46001939474109225780786783;-5.936985527850637069606015470;50.52303386689045518820185236;48.13365835073158945581243520;39.73203853724232520965431132;-12.91493725762074155360226636;26.81710127962158365605204496;26.81710127962158365605204496;1.82524934697423457663489898550324141979217529296875;0.798054621991784784995616064406931400299072265625;54.73964083373708498433729085;53.94158621174530019934167478;28.69632428394276395176459534;28.20127653573172677724117271
VVD;ontwikkeling;0.4183102700536718616638595387;True;PVV;hypotheek;0.4183102700536718616638595389;True;63.75011051411270058030920239;-12.69230481798841936434655847;51.05780569612428121596264392;51.05780569612428121596264392;42.68281082963795926746219679;-9.811633388360695459835403031;32.87117744127726380762679376;34.01753165952279054903963174;0.9550462786613512823375788555;1.222459236686529641392100935;59.08466754750695481534587493;57.86220831082042517395377402;41.12900390655781956205036156;40.17395762789646827971278272
PVV;ontwikkeling;0.2483674610425575135508324816;True;CU;Europa;0.4684839784310523169708062597;True;51.05780569612428121596264392;8.868326216162544922438931469;59.92613191228682613840157539;65.04200322320261395520200201;52.66697955463217407763243387;3.79303984010891818017543396;56.46001939474109225780786783;56.46001939474109225780786783;0.95008291824927837421199683376471512019634246826171875;1.2981671617257741768725054498645476996898651123046875;60.49370401392295237252364995;61.79187117564872654939615540;54.73964083373708498433729085;54.97532072092833064718403612
SP;Europa;0.4927648636994541620564799180;True;SGP;ontslag;0.4927648636994541620564799178;False;51.87235009587191155000153726;19.94897141731634550269429164;71.82132151318825705269582890;71.82132151318825705269582890;43.79645364501282227630388971;-38.42258865217020361713529714;5.37386499284261865916859257;33.48704851894016696320407768;1.375157759161267428994827678;1.489754239091373048077729984;54.73964083373708498433729085;56.22939507282845803241502082;43.42570131875210915967726513;42.05054355959084173068243746
VVD;Europa;0.123009302377183971088925318;True;SGP;hypotheek;0.5348958707248064881056848211;False;53.67673038037661423271278665;12.37131569698289918286036378;66.04804607735951341557315043;71.82132151318825705269582890;43.95340111820383515769098529;-9.93586945868104460865135355;34.01753165952279054903963174;34.01753165952279054903963174;1.462011495782201020432466975762508809566497802734375;1.8084308837370099976027404409251175820827484130859375;56.22939507282845803241502082;58.03782595656546803001776125;40.17395762789646827971278272;39.73889087181165505362398540
PVV;ontwikkeling;0.2803079325185128478636897851;True;GL;vreemd;0.1559784824741150544014089974;False;59.92613191228682613840157539;34.30212056371427851690174042;94.22825247600110465530331581;66.84833276127516206617213941;58.88098075931007481425373332;56.70540200392910871353065390;115.5863827632391835277843872;69.09379549663365761297530470;4.734300535130915337849703023;5.021227840290364752264836541;61.79187117564872654939615540;66.81309901593909130166099191;68.91215771078204009053619970;69.76481958368003551272434668
PvdA;ontwikkeling;0.2518635854664698515308374157;True;CDA;huur;0.2518635854664698515308374157;False;59.07395534749176167800117396;7.27236094407238193105340875;66.34631629156414360905458271;66.34631629156414360905458271;28.52787029248016007580443045;15.64792231353527734886703562;44.17579260601543742467146607;32.65244521360522979990551940;1.399242141480388064060207865;1.119393713184310451248166292;60.49370401392295237252364995;61.61309772710726282377181624;28.69632428394276395176459534;30.09556642542315201582480320
VVD;bezuinig;0.3403472114258866421110383268;True;CDA;hypotheek;0.1865887150118811677046437580;False;83.47833873483767190955436627;-4.386509602881183003616104044;79.09182913195648890593826223;76.09704528588872450138325251;41.94157249989156582801360602;-7.92404084036877527897397428;34.01753165952279054903963174;34.01753165952279054903963174;1.227622654470779561819426817237399518489837646484375;0.91766034480150437957490794360637664794921875;79.90861056437696136041843196;78.99095021957545698084352399;39.73889087181165505362398540;38.89037199344080025561206256
CDA;duur;0.2335210227080441632725719551;True;PvdD;AOW;0.2335210227080441632725719551;False;90.75116162320599829725247749;9.24883837679400170274752251;100.0000000000000000000000000;100;59.54436538965018010175632770;18.60730529342971809451213009;78.15167068307989819626845779;68.93459941314301525847404282;0.6779642594749669256300476116;0.6026348973110817116711534325;94.16247677383842241759383349;94.76511167114950412926498698;54.62643775080640503842045498;55.30440201028137196405050260
PvdA;duur;0.1036101207795211297192983315;False;PvdD;zorg;0.1036101207795211297192983314;True;98.62265119842624812782289477;1.37734880157375187217710523;100.0000000000000000000000000;100;47.38395102948278963397069198;10.51486625122978664806762000;57.89881728071257628203831198;73.86088752706914143100336460;0.3173643339192539108519047990;0.2426903729970765200632213168;94.76511167114950412926498698;95.00780204414658064932820828;64.36121100511712865381866469;64.67857533903638256467056949
PvdA;belasting;0.3631596641300635197602275639;True;SP;zorg;0.2123535064622679602308608080;False;48.46290805413658637248618329;-6.790012841188309986298158318;41.67289521294827638618802497;36.23712573823053599075538124;62.26216909707141754014547490;11.59871842999772389085788970;73.86088752706914143100336460;73.86088752706914143100336460;1.1569893919327445264144671455142088234424591064453125;1.0432781363221639292504505647229962050914764404296875;47.36283173730319808713767336;46.31955360098103415788722276;64.67857533903638256467056949;66.30605505849005431072758011
PVV;vreemd;0.0419656074377039112199838656;False;GL;huur;0.1940290184653532312708534846;True;69.09379549663365761297530470;-5.876794230105644765138175609;63.21700126652801284783712909;58.88098075931007481425373332;30.57304247071076669715680080;-3.75594119108918304110475584;26.81710127962158365605204496;26.81710127962158365605204496;1.2060406527353795258505897436407394707202911376953125;0.9963116810413037427451854455284774303436279296875;61.42496774518371588841681325;60.42865606414241214567162777;28.20127653573172677724117271;27.99526978292739187014907409
GL;belasting;0.1887711274421191816111149969;True;VVD;vreemd;0.1887711274421191816111149969;False;46.56497864784493111384414334;9.68670344743486778139047686;56.25168209527979889523462020;56.25168209527979889523462020;64.15154967162043281619491025;-5.403965075814230876605391737;58.74758459580620193958951851;58.88098075931007481425373332;0.6741825980075685057539821317;0.5842915849398927049867845141;47.36283173730319808713767336;47.94712332224309079212445784;60.42865606414241214567162777;59.75447346613484363991764567
CDA;belasting;0.6260465416477537514694517997;True;VVD;hypotheek;0.5461877116866709291898018815;True;42.34602405762678880658798300;98.09933236921073686569324709;140.4453564268375256722812301;56.25168209527979889523462020;34.01753165952279054903963174;33.28387240752939592045064553;67.30140406705218646949027727;41.94157249989156582801360602;6.620504262370972956733358965;8.039183747164752876033364456;47.94712332224309079212445784;55.98630706940784366815782233;41.79564013524725880545232788;43.37181328951627683979372742
