actor_name;supply;gain;highest;actor_name;supply;gain;highest;supply;move;y;demand;supply;move;y;demand;dp;dq;nbs_0;nbs_1;nbs_0;nbs_1
VVD;ontwikkeling;1.162972982771324315098837587;True;GL;hypotheek;0.219439617356828320371420204;False;55.36268581486232965135010190;14.98168726022724760429480908;70.34437307508957725564491098;76.85180716215577755200613458;44.89858743000009517102563059;-15.64455915489007047899805842;29.25402827511002469202757217;29.25402827511002469202757217;1.8317446505963654868054391045006923377513885498046875;1.44296108823805724341582390479743480682373046875;59.45411927672844030924636167;60.89708036496649755266218559;42.69108557618888641422819894;41.66353167712651056816629795
GL;ontwikkeling;0.8143433783277067572470286908;True;PVV;belasting;1.280445692125210110923205775;True;76.85180716215577755200613458;-24.08616885825060885998190350;52.76563830390516869202423108;42.31861841433943197775760860;37.11581620167340834403441936;7.50278286053668633588178710;44.61859906221009467991620646;44.61859906221009467991620646;1.2302395634133975743651490120100788772106170654296875;1.9406088954696816273326476220972836017608642578125;59.45411927672844030924636167;57.51351038125875868191371400;43.58600784289580883333510621;43.97294081433050922785592762
CDA;ontwikkeling;0.8205810590964681572323513596;True;PVV;belasting;1.022879913807557927807323495;True;68.27949531470226056821514023;-11.18045104791284599311293584;57.09904426678941457510220439;42.31861841433943197775760860;44.61859906221009467991620646;1.67010694724523026881302108;46.28870600945532494872922754;46.28870600945532494872922754;1.011494273555448852874860676820389926433563232421875;1.5603861127931677454938608207157813012599945068359375;57.51351038125875868191371400;55.95312426846559093641985316;43.97294081433050922785592762;44.05907144821974699103453924
SP;vreemd;1.477689215877062856030477178;True;PVV;zorg;0.293251264074141793081196283;False;48.62667620568308632028314921;21.73057548038907903584984483;70.35725168607216535613299404;71.84166905634895616520742559;59.85786845503641007372636201;5.73539514215797022361729197;65.59326359719438029734365398;65.59326359719438029734365398;2.208590986186357074672059752629138529300689697265625;1.551180552499940912269948967150412499904632568359375;56.92679783199618153435229736;58.47797838449612244662224631;60.50139068881330447203567024;61.17908728694229090325393390
VVD;vreemd;0.6138855254781794168472686120;True;PVV;hypotheek;0.5300681437677034923972030360;False;50.42402857378242320660502616;12.52776742478249960956750728;62.95179599856492281617253344;71.84166905634895616520742559;44.94595857041191312448599977;-15.69193029530188843245842760;29.25402827511002469202757217;29.25402827511002469202757217;1.4687884347846271726467648477409966289997100830078125;1.5629269751344327943343159859068691730499267578125;58.47797838449612244662224631;60.04090535963055524095656231;41.66353167712651056816629795;40.13610815442135780537383884
PvdA;ontslag;0.9968374354130236536519760197;True;PvdD;vreemd;0.0398132401772933519623620668;False;33.29473747486537336326832866;7.193683959545306873535986385;40.48842143441068023680431504;53.70520005436244930822668449;62.11696977764873528128683562;-11.74777590120578954835467666;50.36919387644294573293215896;50.36919387644294573293215896;2.62060272873839128493500538752414286136627197265625;1.210768263925962262561597526655532419681549072265625;45.36975437131857227881187421;46.58052263524453454137347175;56.92679783199618153435229736;56.71259304066785386448343135
CDA;Europa;0.6092555811342930560670083650;True;SGP;huur;0.6725680530126029177395707848;False;44.46838712605588487059573798;12.25007078075185649886149645;56.71845790680774136945723443;80;32.34430246294421712494416793;-5.04139495325084588422663944;27.30290750969337124071752849;27.30290750969337124071752849;1.01432305105524722677046156604774296283721923828125;1.3955213833273958368152989351074211299419403076171875;48.81086824469321877679047379;50.20638962802061461360577275;30.16663108229527995684752165;30.00072410701239006100207961
D66;ontwikkeling;0.6048221519987285077490923865;True;PVV;AOW;0.305201301479978470698739556;False;62.52411813980601549038583298;-12.49436314395585684563751506;50.02975499585015864474831792;42.31861841433943197775760860;35.10843390208005899795933899;29.40023780029283991297735027;64.50867170237289891093668926;64.50867170237289891093668926;1.39359178236181957544204124133102595806121826171875;1.1984834020750001482014113207696937024593353271484375;55.95312426846559093641985316;54.75464086639059078821844186;49.49361472513987045115275178;53.47757831682919307632476253
VVD;bezuinig;0.7260296655480170002761042271;True;CU;huur;0.4840197770320113335174028179;False;87.24374704090623861490787064;-7.565875432625975315748458973;79.67787160828026329915941167;73.52417104617048391544937903;38.83049804606733637564309694;-45.63637996967067775032017723;-6.80588192360334137467708029;29.81256318749598350524208396;2.374178271604086619468332481;1.582785514402724412978888321;80.89921194669526098085198480;79.31642643229253656787309646;30.16663108229527995684752165;29.69748377021246142737584841
VVD;duur;0.667504804286983599581617455;True;PvdD;zorg;0.9353836617602685921113447871;True;81.98775766652624904560450330;12.57934922479138433276327806;94.56710689131763337836778136;100;61.37087163031242389540339251;-14.88737096187955362848511528;46.48350066843287026691827723;46.48350066843287026691827723;1.94367440833950499978755033225752413272857666015625;1.803003605364284833711963074165396392345428466796875;86.86378450220774606330129559;88.66678810757203089701325864;60.50139068881330447203567024;60.05205348791708213040478935
