Actor I;Supply I;Actor J;Supply J
SP;0;0;0;0;0;0;0;0;0;0;0
CU;50;50;50;50;50;50;50;50;50;50;50
CDA;50;50;41.37858235690812086262708071;33.56169640971978372570554767;33.56169640971978372570554767;33.56169640971978372570554767;33.56169640971978372570554767;33.56169640971978372570554767;33.56169640971978372570554767;33.56169640971978372570554767;33.56169640971978372570554767
D66;60;60;60;60;45.59999999999999920063942227;45.59999999999999920063942227;45.59999999999999920063942227;45.59999999999999920063942227;45.59999999999999920063942227;45.59999999999999920063942227;45.59999999999999920063942227
PvdD;25;25;25;25;25;25;25;25;25;25;25
PvdA;40;40;40;40;40;40;40;40;40;40;40
PVV;0;0;0;0;0;0;0;0;0;0;0
GL;40;40;40;40;40;40;40;40;40;40;40
VVD;100;100;100;100;100;84.65957934271115486861295179;80.35864292265110613285090684;80.35864292265110613285090684;80.35864292265110613285090684;80.35864292265110613285090684;80.35864292265110613285090684
SGP;50;50;50;50;50;50;50;50;50;50;50
nbs;41.61925375546712808571343878;40.84832387456645853162249403;40.14933547129513358448072276;38.51945835497127352886297012;36.10547214357260531252000875;35.42867184936462245893716370;35.42867184936462245893716370;35.42867184936462245893716370;35.42867184936462245893716370;35.42867184936462245893716370
