Actor I;Supply I;Actor J;Supply J
pvdd;70;70;70;70;61.76058048175106582284035389;56.28913359400273313361324110;52.76201917085449269836443688;53.39513456984941455784438869;56.08093624460058356969925442;53.49833114442480343492737232;55.49684551170008762781932117
pvv;100;100;90.19999999999999945599071794;82.01498706955013046892696729;75.52656082750123383989219131;70.40764622790968280847262659;66.37357104565956949037429223;63.05356263670222767949378798;62.24779123551125177495144339;59.87791189501455309967311492;57.83981566218739225735141470
gl;10;10;28.00000000000000099920072216;40.44000000000000138111744263;48.75499741391002766025442650;54.72716364378533945387415873;52.10029561453861784445598838;56.93285700158422223721603556;54.36902226177602476625417781;58.28316015357398765079101332;56.02964848597425532604727376
nbs;52.79836663826379391835292534;50.63756935617012348111638179;52.18705501420377702070728813;53.48027702239362874756922374;54.23649577308852571753154728;54.47985247696982578044147586;55.17131017529889993482800500;55.68297229157749816669304926;56.15029398018287814170850151;56.30892285978860648762024980
pvda;30;30;31.73562192535808136524600333;35.66908534062944283425007009;38.96288511613301421658703243;41.59282349755173213588564913;42.65922526739284358620989671;44.11368330254323559401383667;45.32008166053483360549717188;45.32008166053483360549717188;46.97801776517849236121923254
d66;0;0;16.00000000000000088817841970;27.87200000000000131805677484;36.53487793112802246308233257;42.77354719454773662968762293;47.19500303988564826373332761;50.26357392080947583033578419;52.30997211535231623979898446;54.88649700975266031273666154;55.68512339139456320297916393
sp;80;80;55.99999999999999866773237045;43.99999999999999866773237045;54.38474856898597513510519978;49.02978737762858903623827909;57.33348132942172786981416099;52.93120451081306234035742746;59.82869165031089708716617409;55.47610865337807780104858044;61.01518957359440619897882088
cda;50;50;55.40000000000000029976021665;55.40000000000000029976021665;55.40000000000000029976021665;55.40000000000000029976021665;55.40000000000000029976021665;55.40000000000000029976021665;55.40000000000000029976021665;57.17956097116888980826805797;57.17956097116888980826805797
vvd;60;60;46.79999999999999926725280375;56.34799999999999983879561683;50.08327999999999981647125225;56.36044068392304889886366702;53.11156490292135903065966828;58.20490318522732078938083167;55.10483481103682187431172843;59.24850773117720567454350998;56.18425399563588364925306308
sgp;80;80;80;78.61582856328658497074397382;78.61582856328658497074397382;76.70876721693905027833251629;76.26310254976663846695099430;75.92282830913917688676174383;73.93971172076583810254685310;73.93971172076583810254685310;73.93971172076583810254685310
cu;75;75;57.22301871736691735149946240;46.50503385085151847606831248;55.73762168771315810672314240;51.37619017910232045317966976;56.32436875179223494023492761;52.77143144584839299096077947;56.99242694218670458306338491;54.90839991760797577049464552;57.03012722059542662159357573
