Actor I;Supply I;Actor J;Supply J
GL;10;10
nbs;45.96638508484861009786494991
CU;55;55
SGP;60;60
SP;0;0
PvdA;20;20
VVD;60;60
D66;75;75
PVV;60;60
CDA;100;100
PvdD;45;45
