Actor I;Supply I;Actor J;Supply J
GL;75;75
nbs;61.61579197484940592563332300
CU;80;80
SGP;90;90
SP;10;10
PvdA;65;65
VVD;100;100
D66;85;85
PVV;0;0
CDA;90;90
PvdD;40;40
