Actor I;Supply I;Actor J;Supply J
GL;10;10
nbs;52.79836663826379391835292534
CU;75;75
SGP;80;80
SP;80;80
PvdA;30;30
VVD;60;60
D66;0;0
PVV;100;100
CDA;50;50
PvdD;70;70
