Actor I;Supply I;Actor J;Supply J
GL;70;70
nbs;45.65208526363549625570619116
CU;40;40
SGP;15;15
SP;0;0
PvdA;20;20
VVD;100;100
D66;80;80
PVV;10;10
CDA;55;55
PvdD;30;30
