actor_name;supply;gain;highest;actor_name;supply;gain;highest;supply;move;y;demand;supply;move;y;demand;dp;dq;nbs_0;nbs_1;nbs_0;nbs_1
SGP;huur;0.2575482435511523526517811748;False;PVV;hypotheek;0.2575482435511523526517811746;False;50;-50;0;0;0;15.43448994218252468847596623;15.43448994218252468847596623;90;1.502364754048388723802056853;1.645447111576806697497490839;41.61925375546712808571343878;39.97380664389032138821594794;50.84091350762240100618851816;52.34327826167078972999057502
VVD;huur;0.3335776879689494323066867314;False;GL;hypotheek;0.2313117981834497682847029410;False;100;-7.736867203644722033846875451;92.26313279635527796615312455;40;80;-80;0;0;1.1200706029761942073008640363696031272411346435546875;1.2174823080973917743818901726626791059970855712890625;41.61925375546712808571343878;40.40177144736973631133154861;50.84091350762240100618851816;45.58641505157001681976231009
VVD;huur;0.0136925962575151993760869118;False;PvdD;hypotheek;0.1305796895012764746724087672;False;100;-9.310144856074293684895130710;90.68985514392570631510486929;25;70;-70;0;0;0.910884689971997563162631195154972374439239501953125;1.465055086218188140634310911991633474826812744140625;41.61925375546712808571343878;40.15419866924893994507912787;50.84091350762240100618851816;48.16328581115036659732354667
VVD;huur;0.4730550380380930453050325470;False;SP;hypotheek;0.1966355739889734777214869158;False;100;-8.484558756775444435785896436;91.51544124322455556421410356;0;90;-90;0;0;1.3411989302750464414515363387181423604488372802734375;1.3351399095386684567898782916017808020114898681640625;41.61925375546712808571343878;40.28411384592845962892356049;50.84091350762240100618851816;42.75435920144820271547204068
VVD;huur;0.4038706565807323012329277386;False;PvdA;hypotheek;0.1095285205143059492627344298;False;100;-7.524245738311969657106563263;92.47575426168803034289343674;40;75;-75;0;0;1.1729316070158326557049122129683382809162139892578125;1.18402395014051453614456477225758135318756103515625;41.61925375546712808571343878;40.43522980532661354956887401;50.84091350762240100618851816;38.48584819136539506390056236
CDA;huur;0E-28;False;GL;hypotheek;0E-28;False;50;-10;40;40;80;-9.076191578541613955205305300;70.92380842145838604479469470;10;0.5961354329535320271383079184;0.8942031494302980407074618775;41.61925375546712808571343878;40.72505060603683004500597691;50.84091350762240100618851816;50.24477807466886897905021023
CDA;huur;0.3851631360562224326571367780;False;PvdD;hypotheek;0.1707978069964380729572894779;False;50;-14.42249735350748576797668024;35.57750264649251423202331976;25;70;-60;10;10;1.37332701848539873168419944704510271549224853515625;1.2896642556156532322120256139896810054779052734375;41.61925375546712808571343878;40.32958949985147485350141317;50.84091350762240100618851816;48.54580405350351437001854260
CDA;huur;0.3003904024877331324638873866;False;SP;hypotheek;0.2342932886990342744581994334;False;50;-15.16451861531192769689678866;34.83548138468807230310321134;0;90;-80;10;10;1.3045312236773980441029152643750421702861785888671875;1.35601603054063080122659812332130968570709228515625;41.61925375546712808571343878;40.26323772492649728448684066;50.84091350762240100618851816;43.65286523546755808110720485
CDA;huur;0.0721131572121208097344727320;False;PvdA;hypotheek;0.0721131572121208097344727320;False;50;-10;40;40;75;-4.202444249680155221003666716;70.79755575031984477899633328;10;0.6922863092363597734509382277;0.8942031494302980407074618775;41.61925375546712808571343878;40.72505060603683004500597691;50.84091350762240100618851816;50.14862719838604123273757995
GL;AOW;0.0641918114338499434801121879;False;PVV;hypotheek;0.4293862773086009387846218037;False;75;-19.91367526102558011900748909;55.08632473897441988099251091;0;0;80;80;80;1.1602554983079700345882656620233319699764251708984375;1.24584458021976995922841524588875472545623779296875;61.61579197484940592563332300;60.36994739462963596640490777;50.84091350762240100618851816;58.62796580245681417502660759
