Actor;Inner Positive;Inner Negative;Outer Positive;Outer Negative;Own
50+;0;0;0;0;0
CDA;0.034381284795885495912361918;0;0;-4.747612402827461242888738649;0
CU;0;0;0;-3.856434111271823124836593631;0.258449905952737535115836645
D66;0.854008384887306637774068942;-0.607402698060643761118393630;0;0;0
GL;0.674217145963663135084791270;-0.252129421836493636690653984;0;0;0
PVV;0;0;0;0;1.834258792430822764432423986
PvdA;1.034470051308652479621468947;0;0;0;0
PvdD;0;0;3.258716205491038486243157890;-2.383769079181394383257092046;0
SGP;0.248777284347981940900042264;0;0;0;0
SP;0;0;4.753230879043825102347778581;0;1.575808886478085229316587278
VVD;0;-1.466934817957781158927441245;0;-5.770175074205683664434005434;0

Connections
first;second;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
vreemd;belasting;0.148985567448837148953568261;-2.326466937854918556736488859;0;-6.240203190453217508093685677;3.151617772956170458633174586
hypotheek;AOW;2.696868583854652540339165080;0;8.011947084534863588590936471;-10.51778747703314490732274408;0.516899811905475070231673323

Realizations
first;supply;second;supply ;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
PVV;belasting;SP;vreemd;0.148985567448837148953568261;-2.326466937854918556736488859;0;-6.240203190453217508093685677;3.151617772956170458633174586
CU;AOW;PVV;hypotheek;2.696868583854652540339165080;0;8.011947084534863588590936471;-10.51778747703314490732274408;0.516899811905475070231673323
