Actor;Inner Positive;Inner Negative;Outer Positive;Outer Negative;Own
50+;0;0;0;0;0
CDA;0;-1.472937761434076790191489437;0;-4.133296801392933353080630642;0
CU;0;0;9.163604597774297407830659747;0;0.300343366191182008355339942
D66;0;-0.338051289509460246929194288;0;-4.123762091355118051228080167;0
GL;2.366359026566221728504360082;0;0;-3.313311738140817393761289860;0
PVV;0;-5.300161289094751728639867749;4.528987267962268379961475328;0;0
PvdA;0;0;0;0;1.990599813738483243001311429
PvdD;0.567315247250010460226753224;0;0.013521960007779989995799320;0;0
SGP;0;-1.328058637358593827221834739;3.461099743726954572475822198;0;0
SP;0;-2.351247452369150865276437836;3.913998470523181410471969732;0;0
VVD;0;-0.686499122722701733383634157;0;0;1.690256447547301234645971506

Connections
first;second;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
vreemd;belasting;2.366359026566221728504360082;-10.79045642976603345825882405;9.177126557782077397826459067;0;3.380512895094602469291942990
zorg;Europa;0.567315247250010460226753224;-0.686499122722701733383634157;11.90408548221240436290926726;-11.57037063088886879807000067;0.600686732382364016710679887

Realizations
first;supply;second;supply ;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
PvdA;belasting;VVD;vreemd;2.366359026566221728504360082;-10.79045642976603345825882405;9.177126557782077397826459067;0;3.380512895094602469291942990
PvdA;Europa;CU;zorg;0.567315247250010460226753224;-0.686499122722701733383634157;11.90408548221240436290926726;-11.57037063088886879807000067;0.600686732382364016710679887
