Actor;Inner Positive;Inner Negative;Outer Positive;Outer Negative;Own
50+;0;0;0;0;0
CDA;1.913467839980221202657723803;0;0;-2.322864830129019403823924534;0
CU;0;0;0;0;2.523286829343817560533166398
D66;0.278743779615482328458870961;-0.400493268833069554044639855;0;0;0
GL;2.913768250318212374522316936;0;0;0;0
PVV;1.290478310684335229699395121;0;0;0;0.743316745641286209223655839
PvdA;0;-6.195941239301311221924910895;0;0;0
PvdD;3.437567224150513672216492206;0;3.356539679536433038525570960;0;0
SGP;0;0;0;-8.483563689311512827365928808;0
SP;0.139371889807741164229435458;0;0;-7.876367620383701229544584060;0
VVD;0;0;0;-3.019724279167725224971101896;1.779970083702531351309510511

Connections
first;second;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
AOW;duur;1.451790518830637127389952854;-3.217167789728691874296135484;3.356539679536433038525570960;-7.607382318672538547523352852;1.486633491282572418447311705
hypotheek;duur;8.521606775725868844394281631;-3.379266718405688901673415266;0;-14.09513810031942013818218645;3.559940167405062702619021043

Realizations
first;supply;second;supply ;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
VVD;duur;CU;hypotheek;8.521606775725868844394281631;-3.379266718405688901673415266;0;-14.09513810031942013818218645;3.559940167405062702619021043
PVV;duur;CU;AOW;1.451790518830637127389952854;-3.217167789728691874296135484;3.356539679536433038525570960;-7.607382318672538547523352852;1.486633491282572418447311705
