Actor;Inner Positive;Inner Negative;Outer Positive;Outer Negative;Own
50+;0;0;0;0;0
CDA;0;0;6.380396499115469132079765710;-3.519492166862150712500129693;0
CU;0;0;0;-8.565757524317854485721898368;1.126237493395888228000041511
D66;0.422339060023458085500015574;0;0;-13.71719211936215858203017291;0
GL;1.566174014253657067062557724;0;0;-10.70719690539731810715237296;0
PVV;0;0;12.21968206266323297263823264;0;1.126237493395888228000041494
PvdA;0.932665424218469938812534377;0;0;-12.96843709101269577733420277;0
PvdD;0;-0.329452212473763634066226860;5.085666181115807779562687411;0;0
SGP;0;0;0;-10.26015072123769772351487410;0
SP;0.211169530011729042750007773;0;0;0;2.111489179945485109242635787
VVD;0;0;0;-4.575339816920795926250168602;2.111489179945485109242635786

Connections
first;second;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
AOW;duur;3.132348028507314134125115448;0;5.085666181115807779562687411;-11.52633684647354358343792475;2.252474986791776456000083005
hypotheek;huur;0;-0.329452212473763634066226860;18.60007856177870210471799835;-52.78722949863712773106589466;4.222978359890970218485271573

Realizations
first;supply;second;supply ;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
VVD;huur;SP;hypotheek;0;-0.329452212473763634066226860;18.60007856177870210471799835;-52.78722949863712773106589466;4.222978359890970218485271573
PVV;duur;CU;AOW;3.132348028507314134125115448;0;5.085666181115807779562687411;-11.52633684647354358343792475;2.252474986791776456000083005
