Actor;Inner Positive;Inner Negative;Outer Positive;Outer Negative;Own
50+;0;0;0;0;0
CDA;0;0;0;0.00;0.627297284987086456202672089
CU;0;0.00;0;-2.276193005524570855363981542;0
D66;0.389820455670546583497374804;0.0;0;0;0
GL;0;0;1.363603787234422406360403247;0;0E-26
PVV;0;-0.268841693565894195515430905;0;0;0.0
PvdA;0;0;1.460975812851701043045513061;0.00;0
PvdD;0;-0.524241302453493681255090246;0;0.00;0
SGP;0;0.00;0;-2.267231615739041048846800514;0
SP;0;0.00;0;0;0.627297284987086456202672067
VVD;0;0;0;-2.966220019010365957186920827;0

Connections
first;second;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
zorg;duur;0;0.00;0;0.00;0E-26
huur;Europa;0.389820455670546583497374804;-0.793082996019387876770521151;2.824579600086123449405916308;-7.509644640273977861397702883;1.254594569974172912405344156

Realizations
first;supply;second;supply ;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
PVV;duur;GL;zorg;0;0.00;0;0.00;0E-26
SP;Europa;CDA;huur;0.389820455670546583497374804;-0.793082996019387876770521151;2.824579600086123449405916308;-7.509644640273977861397702883;1.254594569974172912405344156
