Actor;Inner Positive;Inner Negative;Outer Positive;Outer Negative;Own
50+;0;0;0;0;0
CDA;0;-1.241061459489234598783570503;6.361267239863702641394425440;0;0
CU;0;-0.827374306326156399189047002;0;-6.149767823166416072177032422;0
D66;0;0;0;0;2.821680651545940023638265509
GL;0;-0.413687153163078199594523501;0;-0.077036350416513632900026890;0
PVV;1.395959567221824507181289555;0;0;0;2.482122918978469197567141006
PvdA;0.413687153163078199594523501;-8.770345934748819271163391302;0;0;0
PvdD;3.085781110209528443915806758;0;0;0;0
SGP;0;0;8.273743063261563991890470020;-4.150150064713532318647077094;0
SP;1.654748612652312798378094004;0;0;0;0.339557732567470826071124475
VVD;0.415015006471353231864707722;-3.723184378467703796350711509;0;0;0

Connections
first;second;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
hypotheek;vreemd;4.550558684793860195539758511;-6.205307297446172993917852515;8.273743063261563991890470020;0;4.964245837956938395134282012
huur;ontslag;2.414632764924236985394663029;-8.770345934748819271163391302;6.361267239863702641394425440;-10.37695423829646202372413641;0.679115465134941652142248978

Realizations
first;supply;second;supply ;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
D66;vreemd;PVV;hypotheek;4.550558684793860195539758511;-6.205307297446172993917852515;8.273743063261563991890470020;0;4.964245837956938395134282012
SP;ontslag;D66;huur;2.414632764924236985394663029;-8.770345934748819271163391302;6.361267239863702641394425440;-10.37695423829646202372413641;0.679115465134941652142248978
