Actor;Inner Positive;Inner Negative;Outer Positive;Outer Negative;Own
50+;0;0;0;0;0
CDA;0.122936600447721496266031490;0;1.948469295461031730060111872;0;0
CU;0;0;0;-4.726643637339193816052759277;-0.851801326650956009614818926
D66;0;0;0;-8.905219994931825885770655731;0.258063876751277823290236846
GL;0.271646186053976656094986157;0;0;-7.030436838104073067713675577;0
PVV;0;0;7.522183239894959052777801519;0;0.258063876751277823290236868
PvdA;0;-0.950761651188918296332451588;0;-7.022753300576090474197048610;0
PvdD;0.239823086912211928823261380;0;0;0;0
SGP;0.733444702345736971456462641;0;0;-5.163337218804302843173322391;0
SP;1.969556637529614998848866811;0;0;0;0
VVD;0;-0.054329237210795331218997242;0;0;0.568581777070711920230395626

Connections
first;second;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
huur;AOW;1.616294807021161103765167686;-1.005090888399713627551448830;1.948469295461031730060111872;-4.726643637339193816052759277;0.516127753502555646580473714
hypotheek;AOW;1.721112406268100947724440793;0;7.522183239894959052777801519;-28.12174735241629227085470231;-0.283219549580244089384423300

Realizations
first;supply;second;supply ;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
VVD;AOW;CU;hypotheek;1.721112406268100947724440793;0;7.522183239894959052777801519;-28.12174735241629227085470231;-0.283219549580244089384423300
PVV;AOW;D66;huur;1.616294807021161103765167686;-1.005090888399713627551448830;1.948469295461031730060111872;-4.726643637339193816052759277;0.516127753502555646580473714
