Actor;Inner Positive;Inner Negative;Outer Positive;Outer Negative;Own
50+;0;0;0;0;0
CDA;0;0;3.585006955711256688372740422;0;0.308684059250096967934080712
CU;0;-0.3117708998425979376134215275;0;-3.774463179236827243148762600;0
D66;0;-0.114213101922535878135609870;0;-4.230001838799892600080509809;0
GL;0;0;1.531072933880480960953040380;-4.425232692898349181622687186;0
PVV;0;0;5.661694768855240864723143899;-1.512551890325475142876995510;0
PvdA;0;-0.2994235374725940588960582900;0;-4.750617449729110150859649478;0
PvdD;0.260307805464608775389569832;0;0;0;-0.235589845992106177624104948
SGP;1.171385124590739489253064258;0;0;-1.382904585440434416344681610;0
SP;0;-0.083344695997526181342201787;0;0;0.390461708196913163084354747
VVD;0;-0.055563130665017454228134535;0;0;0.390461708196913163084354756

Connections
first;second;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
zorg;belasting;0;-0.8643153659002715102154260095;1.531072933880480960953040380;-2.895456475765909559221677120;0.073094213257990790309975764
huur;vreemd;1.431692930055348264642634090;0;9.246701724566497553095884321;-17.18031516066417917571160908;0.780923416393826326168709503

Realizations
first;supply;second;supply ;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
CDA;belasting;PvdD;zorg;0;-0.8643153659002715102154260095;1.531072933880480960953040380;-2.895456475765909559221677120;0.073094213257990790309975764
SP;vreemd;VVD;huur;1.431692930055348264642634090;0;9.246701724566497553095884321;-17.18031516066417917571160908;0.780923416393826326168709503
