actor_name;supply;gain;highest;actor_name;supply;gain;highest;supply;move;y;demand;supply;move;y;demand;dp;dq;nbs_0;nbs_1;nbs_0;nbs_1
VVD;duur;0.353172506691903187459047331;False;PvdD;zorg;1.231027803241841955816937570;False;30;14.17151763770662156531327531;44.17151763770662156531327531;100;90;-90;0;0;1.74655376146733853914838618948124349117279052734375;2.031209797714502496290833732928149402141571044921875;66.61897959562282512767643465;68.65018939333732762396726840;53.88523134505072180041496943;51.16881162364986848259505913
PVV;belasting;1.213987689997799934715771997;False;GL;Europa;0.4654201119922009799445561380;False;60;-30.26210609761287694477552528;29.73789390238712305522447472;10;10;90;100;100;1.8691002552413322757018931952188722789287567138671875;1.5606751323979970447197729299659840762615203857421875;45.96638508484861009786494991;44.40570995245061305314517698;52.79836663826379391835292534;58.69410443917739132401830014
PvdD;ontwikkeling;1.177047461731281319252673256;False;PVV;duur;1.042881919043769123334186588;False;100;-64.14067162182003171589995726;35.85932837817996828410004274;0;0;100;100;100;2.189410208631809684476365873706527054309844970703125;2.25723059117234470249968580901622772216796875;57.43659631394382899320881274;55.17936572277148429070912694;66.61897959562282512767643465;73.45311051097370968250140096
CDA;belasting;0.043927574051459927773066738;False;PvdD;vreemd;1.172774052565467517439401491;False;100;-111.7924573708924431348268397;-11.7924573708924431348268397;45;30;690.8560685995377748619651654;720.8560685995377748619651654;55;12.59682524222169532187302852;9.161327448888505688634929830;45.96638508484861009786494991;43.29377386666019269436869011;45.20102140284642840033867341;45.65686256190859124270397703
PVV;belasting;1.152010936469834834205983043;False;PvdA;vreemd;0.3176883926966868942898258868;False;60;-27.77416980709584619492180165;32.22583019290415380507819835;20;20;80;100;100;1.664969658334742863559085890301503241062164306640625;1.43236746316056962058382850955240428447723388671875;45.96638508484861009786494991;44.53401762168804047728112139;45.20102140284642840033867341;59.92436442409717783176272807
PVV;duur;1.132520545335399930753084164;False;CU;vreemd;0.044127747570988273828618275;False;0;22.88888395986432043849915569;22.88888395986432043849915569;90;25;75;100;100;1.8507611192498429897312917091767303645610809326171875;1.5642562948798772737291074008680880069732666015625;66.61897959562282512767643465;68.18323589050270240140554204;45.20102140284642840033867341;51.69708375923183788459375069
GL;ontwikkeling;0.184923764281124780595177981;False;PVV;duur;1.129702156989134009812403292;False;80;-29.20714705108777798008667452;50.79285294891222201991332548;0;0;100;100;100;2.17630138508771953098630547174252569675445556640625;2.353203189440260967302265271428041160106658935546875;57.43659631394382899320881274;55.08339312450356802590654747;66.61897959562282512767643465;73.45311051097370968250140096
PvdD;ontwikkeling;0.4302394493776450445921000208;False;PVV;belasting;1.128844037502074137968577360;False;100;-58.75323414823645825768647057;41.24676585176354174231352943;0;60;-15;45;45;2.09549012044058446946337426197715103626251220703125;2.067636557216764092714811340556479990482330322265625;57.43659631394382899320881274;55.36895975672706490049400141;45.96638508484861009786494991;45.19280617694118643983680706
GL;belasting;1.118573524327457802129970333;False;SGP;duur;0.4002962602769367439492498306;False;10;18.54937641925074872850527767;28.54937641925074872850527767;60;25;75;100;100;1.88410594149837340438580213231034576892852783203125;1.1188785334933282200609028222970664501190185546875;45.96638508484861009786494991;47.08526361834193831792585275;66.61897959562282512767643465;69.99113321283469512696086356
VVD;duur;0.0797502360223531603367064235;False;PvdD;vreemd;1.110314938664938810841675832;False;30;11.22408900605636916101921729;41.22408900605636916101921729;100;30;50;80;80;2.090004753296334616408103102003224194049835205078125;1.6087535677096902464455752124194987118244171142578125;66.61897959562282512767643465;68.22773316333251537412200988;45.20102140284642840033867341;46.11270372097075408506928064
